score,fea1,fea2,fea3,verify_time,label
618,50.0,28.1881,8.6117,1769940178,0
647,50.0,36.3412,1.6985,1769940260,0
652,50.0,10.3178,31.8693,1769940428,1
654,50.0,46.8454,9.7471,1769940466,1
660,50.0,39.935,16.4753,1769940516,0
631,50.0,62.4934,0.5659,1769940684,0
645,50.0,86.7518,22.7133,1769940826,0
691,50.0,29.772,11.8252,1769941031,0
635,50.0,54.6488,11.5653,1769941441,1
617,50.0,37.1377,1.1666,1769941515,0
673,50.0,4.025,12.478,1769941698,1
695,50.0,82.1075,0.7973,1769941729,0
617,51.0,63.4216,0.5744,1769941730,0
611,49.0,0.2172,3.9356,1769941918,0
671,50.0,24.9572,0.2344,1769942007,0
696,50.0,30.8989,1.7391,1769942014,0
645,50.0,81.1532,12.9509,1769942139,1
654,49.0,76.0713,18.0136,1769942152,1
637,50.0,39.6144,1.9787,1769942300,1
677,51.0,15.7342,17.3329,1769942422,0
601,50.0,38.6032,6.5495,1769942482,1
608,49.0,81.0146,31.6758,1769942512,0
604,50.0,45.2391,1.5002,1769942596,0
697,49.0,11.587,0.5505,1769942624,0
618,50.0,3.8547,18.6485,1769942675,0
670,49.0,33.3335,4.4939,1769942803,0
638,50.0,14.8363,6.1096,1769943089,0
641,50.0,74.5041,7.1702,1769943231,1
616,51.0,27.8757,17.4392,1769943264,0
662,50.0,87.7453,0.7904,1769943368,0
689,50.0,61.7349,8.0101,1769943416,1
645,50.0,39.3664,5.6312,1769943445,1
690,50.0,61.0058,4.1594,1769943502,0
691,49.0,29.5174,4.2791,1769943726,0
619,50.0,14.1324,26.6414,1769943734,1
669,50.0,96.4178,3.1213,1769944007,0
607,51.0,56.3161,6.0627,1769944020,1
695,50.0,0.7328,6.7885,1769944074,0
618,51.0,31.0314,12.7248,1769944674,0
631,51.0,15.9534,7.3186,1769944743,0
618,50.0,25.8183,9.7083,1769944832,1
623,50.0,5.5716,5.0888,1769944837,0
623,49.0,24.5086,12.6804,1769945053,0
655,51.0,68.3016,6.2708,1769945184,1
680,51.0,82.061,2.5195,1769945402,0
617,50.0,34.7392,16.9789,1769945596,0
611,50.0,52.2466,14.501,1769945655,0
640,50.0,4.1791,9.8749,1769946055,0
686,50.0,9.0801,7.3803,1769946165,0
647,50.0,55.1924,2.3382,1769946287,0
681,50.0,84.0577,20.2764,1769946297,0
663,50.0,8.7988,1.0225,1769946415,1
615,50.0,41.8547,4.8318,1769946586,0
679,51.0,97.0425,19.1434,1769946599,0
699,49.0,73.8793,9.0527,1769946615,0
622,50.0,19.7603,5.7736,1769947107,0
685,50.0,28.5174,15.6715,1769947142,1
638,50.0,94.7916,45.5772,1769947146,1
632,50.0,22.0988,2.0926,1769947350,0
623,50.0,44.0907,0.5207,1769947394,0
660,50.0,35.561,6.2173,1769947433,0
654,50.0,49.0039,3.3883,1769947642,1
660,50.0,23.658,10.9887,1769947707,0
683,50.0,66.835,6.8173,1769947780,0
696,50.0,23.4591,6.9116,1769947781,0
694,50.0,60.2101,4.3848,1769947832,0
639,50.0,35.7769,2.3657,1769947858,1
657,50.0,25.1476,2.401,1769948093,0
671,50.0,69.5003,4.8934,1769948102,1
673,50.0,96.524,11.4519,1769948151,0
600,49.0,86.9375,4.1121,1769948305,1
684,50.0,8.6835,3.9455,1769948392,1
624,50.0,45.4414,5.5339,1769948450,1
695,49.0,69.478,46.9525,1769948465,0
652,50.0,56.2616,0.9567,1769948976,0
660,50.0,72.6357,3.4906,1769948996,0
645,50.0,97.512,3.4531,1769949021,0
673,50.0,34.2272,36.6911,1769949632,0
659,50.0,77.0873,5.2286,1769949656,1
650,50.0,9.4071,8.3695,1769949835,0
672,51.0,86.9748,2.2081,1769950014,0
683,50.0,77.8432,0.1279,1769950069,0
647,49.0,52.0967,4.1441,1769950118,1
683,49.0,82.1033,10.1897,1769950435,0
639,49.0,66.6623,11.7616,1769950546,0
606,51.0,55.2226,14.0192,1769950620,0
674,50.0,94.6001,19.7086,1769950790,0
684,50.0,13.0265,1.2287,1769950896,0
618,50.0,99.2968,0.8642,1769950943,0
614,51.0,15.4433,15.4969,1769950960,0
669,50.0,48.0176,5.7226,1769951227,0
660,50.0,23.1411,29.3967,1769951498,0
655,49.0,27.1914,28.7324,1769951873,1
609,50.0,63.1832,1.5275,1769951909,1
645,50.0,3.471,11.7514,1769951915,0
679,50.0,94.0747,0.6947,1769952133,0
674,50.0,27.9622,5.1653,1769952172,1
656,50.0,27.2533,18.4333,1769952194,0
634,50.0,86.3564,6.1796,1769952392,0
671,51.0,76.4836,0.3419,1769952499,1
691,50.0,67.1722,2.7487,1769952533,1
602,50.0,14.6358,0.9033,1769952658,0
665,50.0,76.9617,5.2465,1769952692,0
652,50.0,36.0766,11.9303,1769953372,1
677,50.0,99.3889,10.7986,1769953451,0
651,50.0,67.125,12.6919,1769953663,0
692,50.0,83.5893,4.8421,1769953685,0
652,50.0,73.3785,3.0827,1769953896,1
653,50.0,59.4238,0.5862,1769953970,0
646,50.0,71.6319,28.4002,1769954058,0
602,50.0,59.7484,1.2588,1769954293,1
664,50.0,5.1199,1.9631,1769954367,0
614,50.0,34.5523,0.2532,1769954514,0
683,51.0,31.6418,3.8151,1769954676,0
685,50.0,71.3973,17.0841,1769954753,0
633,50.0,57.6173,4.0384,1769954815,0
649,49.0,61.0489,10.9656,1769955148,0
632,50.0,84.6982,33.6809,1769955207,0
672,49.0,52.5307,22.3055,1769955216,1
602,50.0,21.8277,1.9842,1769955224,0
601,51.0,1.244,4.4505,1769955268,0
603,50.0,15.9498,13.9087,1769955460,1
615,50.0,3.0579,38.0132,1769955590,0
653,49.0,23.7065,12.5855,1769955687,1
632,49.0,63.4997,2.9064,1769955712,0
608,50.0,15.1419,1.4251,1769955721,1
656,49.0,8.1923,6.8351,1769955805,1
639,50.0,97.0855,2.1437,1769955836,0
651,50.0,99.6905,2.5827,1769955964,0
681,50.0,63.7024,10.063,1769955992,0
615,50.0,10.8566,7.2327,1769956048,1
607,50.0,82.1521,1.2862,1769956099,0
686,50.0,53.9214,1.6686,1769956103,1
659,50.0,18.2074,0.1963,1769956146,1
635,50.0,57.5692,2.4803,1769956156,0
602,50.0,3.9382,21.8314,1769956163,1
614,50.0,97.2471,15.752,1769956739,1
696,50.0,82.5965,5.3577,1769956759,1
681,51.0,26.0777,13.5454,1769957080,0
622,50.0,41.8912,5.2251,1769957526,0
602,50.0,39.5284,15.7072,1769958655,0
629,50.0,86.1494,2.0083,1769958696,0
644,50.0,35.4634,1.6548,1769958731,0
616,50.0,4.798,0.8115,1769958836,1
657,50.0,21.4689,2.7682,1769958872,0
657,50.0,21.557,1.5819,1769959013,0
695,51.0,94.9241,16.0267,1769959222,1
656,50.0,92.4055,2.744,1769959284,0
606,51.0,30.0593,7.261,1769959333,0
638,50.0,0.2767,14.114,1769959451,0
677,50.0,51.6998,11.3033,1769959507,1
657,50.0,79.724,2.289,1769959523,0
655,50.0,26.8605,0.802,1769959536,0
614,50.0,43.9044,24.2771,1769959839,0
643,49.0,17.2789,9.7284,1769959899,0
611,50.0,32.7395,12.2609,1769960141,0
607,50.0,75.8853,4.8778,1769960143,0
679,50.0,42.8281,2.7655,1769960335,0
640,50.0,44.7271,7.5634,1769960407,1
633,50.0,78.9552,0.8108,1769960429,0
645,51.0,76.2973,16.0932,1769960455,0
687,50.0,18.7153,10.6278,1769960515,0
628,50.0,41.5272,14.3395,1769960666,0
615,50.0,84.8858,8.4225,1769960721,0
604,50.0,45.6738,8.6253,1769961082,0
604,50.0,66.1763,9.1723,1769961087,0
629,50.0,30.5962,15.3321,1769961342,0
649,50.0,5.9559,2.5539,1769961386,0
604,50.0,16.4899,11.4423,1769961551,1
612,50.0,40.1721,8.0454,1769961602,1
698,51.0,35.3467,6.8341,1769961604,0
648,50.0,89.5641,7.785,1769961747,1
688,50.0,54.5623,3.1773,1769961809,1
649,50.0,62.7155,0.3779,1769961968,1
613,51.0,68.8683,14.2364,1769962053,0
645,50.0,53.1626,24.7901,1769962135,1
689,50.0,76.9646,6.5539,1769962432,1
681,49.0,78.31,18.1955,1769962442,0
683,50.0,35.1386,8.1026,1769962494,1
633,50.0,8.4785,26.6359,1769962530,0
670,50.0,98.6354,7.1013,1769962599,0
646,50.0,64.2621,2.2923,1769962780,1
659,49.0,70.8916,20.4111,1769962974,0
673,51.0,75.6696,16.108,1769963285,0
678,51.0,61.2963,5.0752,1769963598,0
680,49.0,47.0901,18.446,1769963802,0
610,50.0,98.467,0.0909,1769964063,0
697,50.0,72.7657,16.0817,1769964233,0
690,50.0,84.5849,11.6488,1769964258,1
684,50.0,43.9675,4.7752,1769964285,0
694,50.0,90.4777,15.6823,1769964302,0
649,50.0,73.2151,1.3543,1769964346,0
603,49.0,74.6128,2.273,1769964569,0
640,50.0,8.6931,7.6267,1769964571,0
658,51.0,61.7457,21.2885,1769964818,0
659,50.0,33.5217,1.3938,1769964838,0
680,50.0,66.9002,8.3073,1769964892,0
661,51.0,56.8214,13.989,1769965026,0
683,49.0,11.119,13.6006,1769965073,0
624,50.0,52.9988,9.8876,1769965363,1
686,50.0,45.1258,28.2888,1769965483,1
678,50.0,77.6443,6.5804,1769965516,0
632,51.0,50.2638,21.223,1769965647,0
618,50.0,48.1162,9.6649,1769965760,0
656,50.0,71.9491,13.3738,1769966037,0
614,50.0,66.8588,6.2517,1769966229,0
640,50.0,99.1854,1.8347,1769966352,1
668,50.0,35.1953,1.1552,1769966408,0
679,51.0,68.8357,11.4674,1769966434,0
659,49.0,16.7259,4.7237,1769966451,0
695,49.0,80.4561,8.3813,1769966500,1
621,50.0,78.6156,13.7062,1769966729,1
642,49.0,72.5821,15.4403,1769966741,0
631,50.0,11.9051,7.1266,1769966828,1
612,50.0,98.7545,3.7761,1769966829,0
637,50.0,94.2611,14.9557,1769966869,0
625,50.0,37.0091,5.3673,1769966904,1
680,50.0,57.7316,27.6036,1769967058,0
604,50.0,88.8887,17.4053,1769967227,0
648,50.0,49.4644,13.7404,1769967418,0
696,50.0,59.9163,2.7608,1769967424,1
690,50.0,60.3243,4.5061,1769967628,0
604,50.0,64.9255,18.9035,1769967641,1
700,49.0,57.55,0.2341,1769967904,0
670,50.0,40.5944,15.2083,1769968324,0
647,50.0,53.9479,5.1777,1769968426,1
617,50.0,87.1443,16.0619,1769968474,0
694,50.0,86.4103,8.0384,1769968620,0
605,50.0,77.2546,7.4825,1769968671,0
665,50.0,41.4108,12.0929,1769968752,0
676,50.0,78.5973,16.4162,1769968768,0
641,50.0,38.7856,11.8239,1769968797,0
651,50.0,66.4069,5.9914,1769968877,0
610,50.0,56.7428,3.8689,1769969038,0
625,49.0,30.0025,18.684,1769969099,0
620,50.0,45.2878,7.3559,1769969130,1
665,50.0,83.0362,15.2998,1769969134,1
639,49.0,91.2753,54.5321,1769969397,0
655,50.0,20.5295,10.3251,1769969400,0
650,50.0,45.6215,3.2621,1769969689,0
619,50.0,43.3506,20.0661,1769969834,0
680,50.0,48.9015,3.1976,1769969897,0
679,50.0,97.6626,3.0165,1769970027,0
656,50.0,51.8743,0.7681,1769970072,1
604,51.0,83.0077,0.8182,1769970078,0
613,51.0,66.3937,19.8283,1769970120,0
623,50.0,10.7191,2.6231,1769970176,0
667,50.0,69.5657,1.1506,1769970210,0
651,51.0,64.7059,4.3477,1769970287,0
647,50.0,75.8469,12.5017,1769970796,0
687,50.0,7.4449,4.1496,1769970819,0
646,50.0,24.1308,3.7002,1769970950,0
659,50.0,76.9289,6.6956,1769971264,0
672,50.0,37.0616,0.2143,1769971292,0
602,50.0,91.0819,6.7545,1769971352,0
608,50.0,51.767,46.0707,1769971512,0
681,51.0,0.1027,16.0619,1769971589,0
699,50.0,69.8836,0.731,1769971732,1
682,50.0,51.3464,10.637,1769971797,1
623,50.0,31.7094,6.1825,1769971996,0
603,50.0,2.0441,17.5013,1769972070,0
608,50.0,19.8746,1.0372,1769972476,0
696,50.0,16.1594,2.6491,1769972630,0
600,51.0,58.2854,15.661,1769972866,0
634,50.0,76.9554,18.918,1769972866,0
673,50.0,23.4606,7.5357,1769973166,0
611,49.0,69.7723,0.1989,1769973282,0
617,50.0,89.9824,22.4163,1769973350,0
677,50.0,62.1586,4.8251,1769973410,1
609,50.0,77.5648,0.4049,1769973453,0
673,51.0,20.4232,17.0822,1769973455,0
617,50.0,7.4939,5.414,1769973468,1
623,50.0,36.5388,2.1071,1769973856,0
600,50.0,70.9007,16.1736,1769974057,0
693,50.0,68.6099,6.1196,1769974127,0
678,50.0,95.5079,9.3601,1769974324,1
671,50.0,62.9978,17.3229,1769974430,0
698,50.0,41.1284,7.3903,1769974439,0
681,50.0,79.7131,1.1707,1769974460,1
615,50.0,15.3068,33.1764,1769974671,0
684,50.0,81.3022,3.3763,1769974756,0
614,50.0,36.593,51.5846,1769974773,0
661,50.0,15.401,0.0604,1769974854,0
604,50.0,16.2141,6.6124,1769974909,0
644,50.0,98.3597,12.2056,1769974979,0
651,50.0,62.3223,23.6768,1769975008,1
670,51.0,17.4265,15.1566,1769975068,0
606,50.0,26.8563,2.9521,1769975314,1
626,50.0,37.208,2.7879,1769975733,0
688,50.0,5.5899,4.4097,1769975738,0
685,50.0,10.8416,1.1714,1769975803,0
612,51.0,76.1754,11.0737,1769975954,0
616,50.0,78.6874,28.3461,1769976302,0
643,50.0,98.8235,10.2751,1769976302,0
612,50.0,6.7596,7.6223,1769976481,0
689,50.0,88.9184,6.9987,1769976532,0
672,50.0,31.7216,8.9799,1769976532,0
604,50.0,32.7851,12.3999,1769976573,1
632,50.0,12.7282,15.8474,1769976640,0
603,49.0,98.63,11.9839,1769976753,0
691,49.0,98.0989,12.2089,1769976826,0
625,50.0,86.483,30.3102,1769977533,0
667,50.0,9.078,22.9604,1769977812,0
615,49.0,84.165,17.3684,1769977949,0
700,50.0,63.4614,0.4433,1769977973,0
621,50.0,12.8775,11.0524,1769978169,0
635,49.0,26.1758,6.0693,1769978192,1
657,50.0,68.9224,9.6129,1769978425,0
654,49.0,80.3441,11.5926,1769978429,1
634,50.0,84.8087,12.5405,1769978524,0
624,50.0,54.383,20.3582,1769978655,0
671,50.0,53.462,24.0785,1769978719,0
680,50.0,68.4209,9.3351,1769978967,0
660,50.0,77.7723,22.4587,1769979088,0
617,50.0,17.0586,14.4656,1769979192,0
657,50.0,73.9838,2.2656,1769979256,0
675,50.0,34.1687,0.3595,1769979355,0
656,50.0,38.3759,0.0994,1769979369,0
696,51.0,7.7713,8.834,1769979657,1
686,50.0,58.8421,7.3729,1769979720,0
662,51.0,9.342,11.9194,1769979774,0
611,51.0,91.3136,18.5042,1769979936,0
610,50.0,62.097,1.7966,1769980078,0
612,50.0,99.0282,19.4094,1769980084,0
634,49.0,24.5652,1.0323,1769980547,0
626,50.0,67.9601,21.4766,1769980567,1
688,50.0,96.443,19.0037,1769980739,1
666,50.0,29.8578,11.9388,1769980884,0
688,50.0,9.6323,3.5672,1769980959,1
644,50.0,63.3977,0.9807,1769981272,1
673,50.0,36.6099,15.0547,1769981308,1
680,50.0,27.3058,2.4575,1769981356,0
666,49.0,99.3588,5.8149,1769981365,0
621,51.0,75.4109,7.5685,1769981437,0
677,50.0,48.5395,11.5659,1769981454,0
690,50.0,5.0003,6.6833,1769981501,0
641,50.0,19.1616,11.8591,1769981555,0
619,50.0,29.8778,16.8221,1769981591,0
647,50.0,48.7197,12.4849,1769981643,0
617,50.0,49.725,3.5596,1769981701,0
676,50.0,2.4733,22.4702,1769981821,1
669,50.0,94.3356,7.9978,1769981832,0
673,49.0,54.2807,6.2619,1769981873,0
700,49.0,1.9727,8.5578,1769982031,0
692,50.0,70.1335,6.6014,1769982051,1
605,50.0,7.1352,14.0695,1769982193,1
638,50.0,72.117,5.4587,1769982291,0
610,50.0,70.1492,14.9934,1769982485,0
624,49.0,98.4923,14.2776,1769982592,1
693,50.0,34.2037,3.2417,1769982609,1
654,50.0,14.4327,1.0086,1769982693,0
683,50.0,9.1869,19.0353,1769982761,1
657,49.0,7.1726,1.8503,1769982810,0
636,50.0,81.0333,0.3168,1769982815,0
615,50.0,71.8548,5.1471,1769982868,1
694,49.0,97.5915,2.9323,1769982965,1
692,50.0,30.9186,2.4892,1769982989,0
669,50.0,80.3102,1.8912,1769983367,0
692,50.0,9.3014,13.8309,1769983535,0
695,51.0,90.388,15.2981,1769983578,1
672,51.0,5.183,0.475,1769983750,1
636,50.0,78.7883,7.9145,1769983943,1
652,50.0,30.7356,1.4519,1769983989,0
686,50.0,18.1193,6.9226,1769984284,1
615,50.0,70.4515,4.276,1769984424,1
617,50.0,89.5878,2.2542,1769984429,0
618,50.0,76.4126,29.5766,1769984462,0
643,50.0,31.31,31.4067,1769984651,0
601,49.0,35.3571,8.3005,1769984772,0
657,50.0,18.9305,2.0832,1769984783,0
609,50.0,82.4062,8.7531,1769985216,0
675,50.0,10.7094,26.3805,1769985245,0
645,50.0,90.3214,4.7443,1769985352,0
681,50.0,60.1134,1.4819,1769985399,1
618,50.0,58.8855,11.8316,1769985465,0
637,50.0,83.7821,10.679,1769985549,1
636,49.0,66.7533,0.0139,1769985666,1
690,50.0,30.4239,19.2145,1769985727,0
677,50.0,34.9515,10.8101,1769985741,0
644,50.0,17.3054,2.1778,1769986237,1
633,50.0,46.4063,0.0324,1769986250,0
601,50.0,11.0155,35.8633,1769986404,0
643,50.0,65.3037,14.0519,1769986714,0
696,49.0,16.9229,4.5421,1769987300,0
682,51.0,86.3932,5.6702,1769987362,1
626,51.0,70.0463,7.7405,1769987425,0
647,51.0,89.1511,12.6808,1769987462,0
693,50.0,8.7031,1.8987,1769987525,0
606,50.0,79.8509,2.1782,1769987612,0
626,50.0,88.0805,0.4947,1769987754,0
684,49.0,4.457,42.5411,1769987780,0
670,50.0,99.9076,20.8402,1769987899,0
688,50.0,30.0644,8.051,1769987927,0
617,50.0,21.1721,5.626,1769988203,0
632,50.0,41.4905,2.7107,1769988326,1
632,50.0,0.8635,9.0383,1769988463,0
695,50.0,88.5906,11.7283,1769988580,1
624,50.0,26.8491,11.6855,1769988633,1
613,50.0,52.1592,0.0646,1769988869,0
637,50.0,62.356,12.1079,1769989152,0
637,50.0,79.1092,20.127,1769989289,0
603,50.0,25.0206,1.2207,1769989342,0
661,51.0,71.7146,14.0804,1769989352,1
681,50.0,11.7661,17.3295,1769989397,0
609,50.0,70.4235,3.232,1769989407,0
634,50.0,91.9296,12.4516,1769989870,0
698,51.0,8.5026,1.0176,1769989889,1
622,50.0,11.6703,10.4757,1769990575,1
688,50.0,55.7227,7.1402,1769990657,0
664,51.0,4.64,18.9613,1769990672,1
681,51.0,18.7391,6.0142,1769990682,0
678,50.0,19.0192,5.5878,1769990748,1
624,50.0,48.1247,27.1485,1769990840,0
695,50.0,24.8487,27.2215,1769990892,0
652,50.0,47.5523,0.3636,1769990921,0
683,50.0,52.1176,6.6469,1769991043,1
616,51.0,73.0644,1.7549,1769991051,1
656,51.0,94.5992,3.198,1769991258,0
674,50.0,50.3747,10.9703,1769991508,0
676,51.0,35.5005,1.3844,1769991789,1
688,50.0,25.8703,0.1133,1769991872,1
619,50.0,63.4657,12.9874,1769991899,0
624,50.0,94.2917,10.2539,1769992031,0
641,50.0,76.4655,23.2959,1769992038,0
644,50.0,20.6103,7.8156,1769992385,0
630,50.0,89.3304,29.0645,1769992495,1
664,50.0,73.5513,9.3985,1769992506,0
651,50.0,12.7945,4.8964,1769992507,0
679,51.0,71.2802,9.3768,1769992551,0
691,50.0,28.9355,13.8302,1769992697,0
620,50.0,49.1397,4.2701,1769992763,1
629,49.0,30.0231,4.6605,1769992980,1
602,50.0,8.4059,9.9408,1769992999,0
697,51.0,76.8584,6.0806,1769993002,0
669,50.0,82.8684,7.486,1769993262,1
642,49.0,23.1979,40.2193,1769993333,0
628,51.0,23.9638,0.4476,1769993383,0
602,50.0,42.9958,10.4384,1769993409,0
657,50.0,81.1469,25.6246,1769993560,1
632,50.0,7.7268,2.6946,1769993658,0
674,50.0,80.8711,2.3829,1769993726,0
644,50.0,92.2723,4.5098,1769993804,0
668,50.0,56.1504,0.7697,1769993918,0
631,50.0,6.0391,8.2163,1769993981,0
681,50.0,26.9553,10.3693,1769994047,1
683,51.0,11.1386,17.1417,1769994084,1
651,50.0,25.9284,0.6847,1769994193,0
663,50.0,81.1782,5.7303,1769994233,1
639,50.0,5.5668,15.3343,1769994401,0
691,50.0,28.3824,14.6232,1769994470,0
612,50.0,51.6951,0.7649,1769994559,0
689,50.0,87.4041,0.1146,1769994632,0
679,50.0,24.9982,15.2937,1769995224,1
688,49.0,77.8327,1.4847,1769995501,0
673,50.0,58.3569,8.6225,1769995696,1
628,50.0,67.6369,0.9899,1769995731,1
662,50.0,86.1769,3.5028,1769995754,0
683,49.0,2.6416,1.7202,1769995845,1
625,49.0,52.9733,13.333,1769995863,0
695,50.0,74.7214,11.1695,1769996191,1
658,50.0,88.4603,1.4538,1769996363,0
648,50.0,13.2694,0.6116,1769996596,1
652,50.0,34.1452,6.2799,1769997040,0
687,50.0,7.8556,2.1759,1769997590,0
630,50.0,83.4934,0.0818,1769997914,1
611,51.0,85.7366,3.069,1769998035,0
657,50.0,48.3585,2.4238,1769998187,0
635,49.0,2.0795,11.5505,1769998442,1
609,50.0,10.2198,19.723,1769998473,0
605,50.0,62.4358,2.7133,1769998498,0
606,50.0,98.2619,2.5238,1769998584,0
630,50.0,83.8864,4.9064,1769998670,1
690,50.0,79.7922,1.8942,1769998763,1
671,50.0,41.797,29.3398,1769998867,0
602,50.0,98.5212,2.7909,1769998920,0
646,50.0,82.4973,0.9798,1769998951,0
684,50.0,33.5653,8.1393,1769999252,1
600,51.0,74.8491,7.7137,1769999255,1
644,49.0,43.2523,9.9944,1769999503,0
653,50.0,66.0456,34.0227,1769999563,0
649,49.0,97.0054,3.908,1769999593,1
678,50.0,24.6452,4.4562,1769999831,0
606,50.0,79.5002,4.1104,1769999890,0
662,51.0,59.0374,9.9056,1769999975,1
614,50.0,94.9971,9.2652,1770000040,0
688,50.0,13.4463,7.5249,1770000076,0
666,50.0,71.9709,4.5307,1770000138,1
629,50.0,3.7153,5.58,1770000300,0
677,50.0,24.6553,15.7266,1770000359,0
667,50.0,32.0855,9.3968,1770000378,0
635,50.0,43.2256,12.5987,1770000420,1
666,50.0,96.53,3.2397,1770000669,0
604,50.0,6.7601,24.2466,1770000865,0
624,51.0,16.8983,0.358,1770000924,0
694,50.0,20.3047,9.0559,1770000964,0
610,50.0,42.3997,16.7318,1770000976,1
671,49.0,6.07,20.1205,1770000990,0
689,51.0,96.542,3.85,1770001040,0
665,50.0,55.9852,6.1572,1770001076,0
627,50.0,81.3287,0.3551,1770001232,0
659,50.0,77.2498,15.5953,1770001299,0
609,50.0,66.0825,1.3304,1770001324,1
649,50.0,90.4409,5.5876,1770001370,0
638,50.0,90.2384,46.8953,1770001399,0
636,50.0,12.7772,24.9784,1770001462,0
662,50.0,90.1928,4.0051,1770001520,1
660,50.0,52.3891,2.5345,1770001552,1
684,51.0,26.807,2.8994,1770001637,0
691,50.0,60.85,11.545,1770001664,0
637,50.0,28.0904,12.9389,1770001685,0
632,50.0,47.9008,2.4398,1770001717,1
674,50.0,81.6438,2.7442,1770001810,0
644,50.0,3.2198,3.9066,1770001941,0
643,50.0,18.3089,5.6771,1770002070,0
600,50.0,95.6583,24.946,1770002235,0
652,51.0,44.5098,0.2687,1770002236,1
646,50.0,30.3324,10.1666,1770002493,0
632,50.0,92.328,19.7831,1770002552,0
666,50.0,91.1214,12.8505,1770002836,1
689,50.0,4.4242,2.4429,1770002902,0
614,50.0,36.2478,6.4769,1770002963,0
613,50.0,91.2822,24.1107,1770003107,0
622,49.0,17.9772,1.2298,1770003125,1
653,50.0,57.8214,43.8292,1770003180,1
607,50.0,32.0778,1.5505,1770003228,0
653,50.0,73.6565,1.5364,1770003277,1
635,51.0,15.8262,16.7589,1770003357,0
683,50.0,59.6053,17.6228,1770003373,0
651,50.0,0.0008,0.3866,1770003404,0
605,51.0,25.2564,1.8429,1770004012,0
696,49.0,16.2165,29.6671,1770004043,1
627,50.0,20.9831,3.276,1770004241,1
649,50.0,86.0426,0.1232,1770004659,0
637,50.0,91.4797,2.9309,1770004812,1
629,50.0,75.5032,13.2966,1770004936,0
680,50.0,59.0107,24.8235,1770004981,1
672,50.0,23.0857,1.686,1770005073,0
691,51.0,27.4721,2.5414,1770005330,1
653,50.0,30.989,5.8256,1770005401,0
670,50.0,77.7005,13.7953,1770005545,1
645,49.0,25.2884,10.7498,1770005549,1
627,49.0,97.3389,3.968,1770005564,1
616,50.0,79.6464,0.6866,1770005625,1
647,50.0,99.9718,2.9164,1770005698,1
643,50.0,45.9179,2.479,1770005796,0
659,50.0,58.9328,0.2128,1770006244,0
659,50.0,28.0402,36.9048,1770006285,0
604,50.0,60.3745,2.9487,1770006318,0
668,50.0,97.39,18.1116,1770006586,0
677,50.0,3.038,6.6332,1770006633,1
669,50.0,28.9289,35.8599,1770006714,1
606,50.0,28.1294,1.6199,1770006948,1
652,50.0,98.237,1.1729,1770006997,0
616,50.0,13.2649,0.0247,1770007177,0
658,50.0,81.236,12.6743,1770007191,1
608,50.0,27.4554,3.6583,1770007440,1
694,49.0,86.0603,20.4295,1770007462,0
621,50.0,48.7751,10.0459,1770007521,0
644,50.0,24.2261,8.614,1770008105,1
672,50.0,70.9733,6.6727,1770008144,1
